;; Unicode Sender
;; Type what you want to send in Unicode and press backtick (`), it will be sent.
;; C1 for characters where case is not relevant. C for characters where case is relevant.
;; ? for characters that are used inside words. No '?' syntax otherwise.
;; 1047 definitions.

;; if we type (atom`), we get (om`). How to deal with this issue?
;; Remove the '?' syntax out for things that should not be a part of a word, such as symbols.
;; Keep the '?' syntax for letters and diacritics

;; LIST
;;====================
;; GREEK LETTERS
;; ARCHAIC GREEK LETTERS
;; BRACKETS
;; COMBINING DIACRITICS (LATIN)
;; COMPUTER-KEYS SYMBOLS
;; CURRENCY SYMBOLS
;; DATE AND TIME
;; EXTRA LETTERS & LIGATURES
;; MATHEMATICAL (GEOMETRICAL)
;; MATHEMATICAL
;; ORTHOGRAPHICAL
;; ORTHOGRAPHICAL (RIGHT-TO-LEFT)
;; ROMAN NUMERALS
;; SPACING
;; ASTRONOMICAL
;; RELIGIOUS & POLITICAL
;; SYMBOLS


;; GREEK LETTERS
;;====================
*C1?OZ‖doublemacron`‖SI‖En‖{U+035E}‖combining double macron
*C1?OZ‖doublemacronbelow`‖SI‖En‖{U+035F}‖combining double macron below
*C1?OZ‖overline`‖SI‖En‖{U+0305}‖combining overline
*C1?OZ‖doubleoverline`‖SI‖En‖{U+033F}‖combining double overline
*C1?OZ‖lowline`‖SI‖En‖{U+0332}‖combining low line
*C1?OZ‖underline`‖SI‖En‖{U+0332}‖combining low line
*C1?OZ‖doublelowline`‖SI‖En‖{U+0333}‖combining double low line
*C1?OZ‖doubleunderline`‖SI‖En‖{U+0333}‖combining double low line

*C1?OZ‖caron`‖SI‖En‖{U+030C}‖combining caron
*C1?OZ‖hacek`‖SI‖En‖{U+030C}‖combining caron

*C1?OZ‖horn`‖SI‖En‖{U+031B}‖combining horn

*C1?OZ‖overring`‖SI‖En‖{U+030A}‖combining ring above
*C1?OZ‖ringabove`‖SI‖En‖{U+030A}‖combining ring above
*C1?OZ‖underring`‖SI‖En‖{U+0325}‖combining ring below
*C1?OZ‖ringbelow`‖SI‖En‖{U+0325}‖combining ring below

*C1?OZ‖roughbreathing`‖SI‖En‖{U+0314}‖combining reversed comma above
*C1?OZ‖smoothbreathing`‖SI‖En‖{U+0313}‖combining comma above

*C1?OZ‖pinyintone1`‖SI‖En‖{U+0304}‖combining macron
*C1?OZ‖pinyintone2`‖SI‖En‖{U+0301}‖combining acute
*C1?OZ‖pinyintone3`‖SI‖En‖{U+030C}‖combining caron
*C1?OZ‖pinyintone4`‖SI‖En‖{U+0300}‖combining grave

*C1?OZ‖vietnamesetone1`‖SI‖En‖{U+0301}‖combining acute
*C1?OZ‖vietnamesetone2`‖SI‖En‖{U+0300}‖combining grave
*C1?OZ‖vietnamesetone3`‖SI‖En‖{U+0309}‖combining hook above
*C1?OZ‖vietnamesetone4`‖SI‖En‖{U+0303}‖combining tilde
*C1?OZ‖vietnamesetone5`‖SI‖En‖{U+0323}‖combining dot below


;; COMPUTER-KEYS SYMBOLS
;;====================
*C1OZ‖commandkey`‖SI‖En‖{U+2318}‖place of interest sign
*C1OZ‖applekey`‖SI‖En‖{U+2318}‖place of interest sign
*C1OZ‖winkey`‖SI‖En‖{U+229E}‖squared plus
*C1OZ‖windowskey`‖SI‖En‖{U+229E}‖squared plus
*C1OZ‖tabkey`‖SI‖En‖{U+2B7E}‖horizontal tab key
*C1OZ‖tabulationkey`‖SI‖En‖{U+2B7E}‖horizontal tab key
*C1OZ‖enterkey`‖SI‖En‖{U+21B5}‖downwards arrow with corner leftwards
*C1OZ‖enterkey2`‖SI‖En‖{U+2386}‖enter symbol
*C1OZ‖shiftkey`‖SI‖En‖{U+21E7}‖upwards white arrow
*C1OZ‖backspacekey`‖SI‖En‖{U+2190}‖leftwards arrow
